id;name;code;code_a_2;code_a_3;flag;active
1;vortals Car Hill;virtual Riyal;St;enc;Account Soft;true
2;scalable;intuitive Tuna;Di;Gar;alarm Gorgeous Credit;false
3;Credit Enterprise-wide Strategist;maximized indexing;Ru;cro;Cambridgeshire Senegal;false
4;state fuchsia;Small Mayotte;Co;Com;Iceland;true
5;Highway;payment Seamless;Gr;SAS;reintermediate;true
6;Director Versatile;Guatemala;St;Foc;parsing;false
7;interface methodologies;Maine PNG overriding;Bo;cro;interactive capacitor azure;false
8;National array;green;di;Gra;primary District encryption;true
9;feed SDD;Station;or;Pan;Integrated Maine;true
10;Money back-end Japan;morph Cambridgeshire;Co;Mob;Strategist;true
